shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled
11-28-543-04839-583216,0,0,0,Control,0,25.018118915654668,0.5125920527082749
11-28-543-04839-583217,0,0,0,Control,0,19.086340988017177,0.391056847188297
11-28-543-04839-583218,1,0,0,Control,0,29.263280156410676,0.5995704511167624
11-28-543-04839-583219,1,0,0,Control,0,34.371724223632455,0.7042365069217856
11-28-543-04839-583220,0,0,0,Control,0,-2.1295651364501182,-0.043632303785473295
11-28-543-04839-583221,0,0,0,Control,0,43.84193529986926,0.8982700772119698
11-28-543-04839-583222,1,0,0,Control,0,45.77237477835779,0.9378225287069679
11-28-543-04839-583223,0,0,0,Control,0,50.38929487321785,1.0324178320786193
11-28-543-04839-583224,0,0,0,Control,0,37.69652786700344,0.7723578525014914
11-28-543-04839-583225,0,0,1,Control,0,41.298355780314125,0.8461551019993588
11-28-543-04839-583226,0,0,0,Control,0,74.59508200525316,1.528366154782674
11-28-543-04839-583227,0,0,0,Control,0,68.67617950496317,1.4070947517394452
11-28-543-04839-583228,1,0,0,Control,0,51.94707809657763,1.0643349919110017
11-28-543-04840-583230,0,0,0,Holdout,NA,63.682913056650946,1.3047885508980164
11-28-543-04840-583233,0,0,0,Holdout,NA,47.54819998172178,0.9742071141872874
11-28-543-04840-583234,1,1,1,Holdout,NA,58.917127147145756,1.2071431607566803
11-28-543-04840-583235,1,0,0,Holdout,NA,23.84238278601063,0.4885025918591458
11-28-543-04840-583236,1,0,0,Holdout,NA,41.11653623264088,0.8424298317071148
11-28-543-04840-583237,0,0,1,Holdout,NA,71.90196729279678,1.4731873780212819
11-28-543-04840-583238,1,0,1,Holdout,NA,27.174328744660055,0.5567702751416184
11-28-543-04840-583239,0,0,0,Holdout,NA,23.99857615881285,0.4917028117419452
11-28-543-04840-583240,1,0,0,Holdout,NA,23.052150365862683,0.472311652015671
11-28-543-04840-583241,1,0,0,Holdout,NA,44.982568236746125,0.9216403146175697
11-28-543-04840-583242,0,0,0,Holdout,NA,3.559608832972648,0.07293222982445052
11-28-543-04840-583243,1,0,0,Holdout,NA,20.425754088549535,0.4184998581093389
11-28-543-04840-583244,0,0,0,Holdout,NA,14.396295362652479,0.29496328705669
11-28-543-04840-583245,0,0,0,Holdout,NA,11.564942339588615,0.23695216867776422
11-28-543-04840-583246,1,0,0,Holdout,NA,-15.520526132653234,-0.31799746320939404
11-28-543-04840-583247,1,0,0,Holdout,NA,-8.674735578915607,-0.17773520591572003
11-28-543-04840-583248,0,0,0,Holdout,NA,31.555191607435916,0.6465290413795781
11-28-543-04840-583249,0,0,0,Holdout,NA,-26.11247323571369,-0.5350140952767194
11-28-550-05153-591605,1,0,0,Control,0,16.000563198373445,0.3278328623344504
11-28-550-05153-591606,0,0,0,Control,0,-6.944507531325577,-0.142284852931242
11-28-550-05153-591608,0,0,0,Control,0,27.61316865551192,0.5657615926532287
11-28-550-05153-591609,0,0,0,Control,0,-20.902788491807947,-0.4282737361855871
11-28-550-05153-591610,0,0,1,Control,0,-30.510970653500255,-0.6251341729618751
11-28-550-05153-591611,0,0,1,Control,0,12.953407555757837,0.2654002001892331
11-28-550-05153-591612,0,0,0,Control,0,-25.92132806362108,-0.5310977538260071
11-28-550-05153-591613,0,0,0,Control,0,-93.83194802209422,-1.9225070841023628
11-28-550-05153-591614,0,0,1,Control,0,-55.187861383719216,-1.1307348584692785
11-28-550-05153-591615,1,0,1,Control,0,-30.064658976346536,-0.6159897676805993
11-28-550-05153-591616,0,0,0,Control,0,-5.470776251543969,-0.11208981930819234
11-28-550-05153-591617,0,0,0,Control,0,-21.61478581755222,-0.4428617302692546
11-28-550-05153-591618,0,0,0,Control,0,12.967748476032153,0.26569402890536964
11-28-550-05153-591619,0,0,0,Control,0,-63.313983378007805,-1.2972296124375244
11-28-550-05153-591620,0,0,0,Control,0,-15.077563719260677,-0.308921680432959
11-28-550-05153-591621,0,0,0,Control,0,-31.596882863764666,-0.6473832465551783
11-28-550-05153-591622,1,1,1,Control,0,-62.91026499660355,-1.288957894066621
11-28-550-05153-591623,1,0,0,Control,0,-66.53544149092322,-1.3632335287343558
11-28-550-05153-591624,0,0,0,Control,0,24.309922053625755,0.49808192568981996
11-28-550-05154-591625,0,0,1,Treatment,1,-37.07452896387349,-0.7596138210412292
11-28-550-05154-591626,0,0,1,Treatment,1,-10.631633124136496,-0.21782975231332677
11-28-550-05154-591627,1,0,1,Treatment,1,-43.866467881220885,-0.8987727211667631
11-28-550-05154-591628,0,0,0,Treatment,1,10.07058415238675,0.20633451379964662
11-28-550-05154-591630,0,0,0,Treatment,1,-55.98086768746368,-1.1469826319496668
11-28-550-05154-591631,0,0,0,Treatment,1,27.72568196341567,0.568066858994388
11-28-550-05154-591632,0,0,0,Treatment,1,-13.525007848008944,-0.2771116229433356
11-28-550-05154-591633,1,0,0,Treatment,1,29.999112171801368,0.614646790168839
11-28-550-05154-591634,0,0,0,Treatment,1,-59.783759354929884,-1.2248994430666662
11-28-550-05154-591635,0,0,0,Treatment,1,-48.03702161224436,-0.9842224987908429
11-28-550-05154-591636,1,0,0,Treatment,1,-49.70657667793464,-1.0184297332003083
11-28-550-05154-591637,0,0,0,Treatment,1,-42.81965162010803,-0.8773246779345248
11-28-550-05154-591638,0,0,0,Treatment,1,2.1746483516892208,0.044556006239683255
11-28-550-05154-591639,0,0,0,Treatment,1,-53.299433452641296,-1.0920431745402694
11-28-550-05154-591640,0,0,0,Treatment,1,-19.863136800858857,-0.4069724866327377
11-28-550-05154-591641,1,0,0,Treatment,1,-23.418900532937524,-0.479825934828291
11-28-550-05155-591642,0,0,0,Treatment,1,-43.22602627408952,-0.8856508202298452
11-28-550-05155-591643,0,0,0,Treatment,1,-119.20619452768099,-2.4423957754174324
11-28-550-05155-591644,1,0,1,Treatment,1,-8.764055844547793,-0.17956527389418028
11-28-550-05155-591645,0,0,0,Treatment,1,-0.9337995598936977,-0.0191324629496616
11-28-550-05155-591646,0,0,0,Treatment,1,-195.88374089453563,-4.013429194090086
11-28-550-05155-591647,0,0,0,Treatment,1,-10.921050334590435,-0.22375957311623526
11-28-550-05155-591648,0,0,1,Treatment,1,-34.76992787968832,-0.7123952350076884
11-28-550-05155-591649,0,0,0,Treatment,1,-38.07524490980265,-0.7801173226286628
11-28-550-05155-591650,0,0,1,Treatment,1,11.066825599247315,0.22674633812428752
11-28-550-05155-591651,1,0,0,Treatment,1,9.90564148720221,0.20295503112906052
11-28-550-05155-591652,0,0,0,Treatment,1,-19.96922803622951,-0.4091461722042365
11-28-550-05155-591653,0,0,0,Treatment,1,-25.287539509522475,-0.5181121661795622
11-28-550-05155-591654,0,0,0,Treatment,1,16.672700696378882,0.3416041750764818
11-28-550-05155-591655,0,0,0,Treatment,1,9.980773114382526,0.20449439046816625
11-28-550-05155-591657,0,0,1,Treatment,1,16.856926823884642,0.34537875338027196
11-28-550-05155-591658,0,0,1,Treatment,1,44.67943492907878,0.9154294669936812
11-28-550-05155-591659,0,0,0,Treatment,1,-3.346527231318788,-0.06856643653861798
11-28-550-05155-591660,1,0,0,Treatment,1,-24.69413936917669,-0.5059540899851569
11-28-550-05155-591661,1,0,1,Treatment,1,-30.502555903432192,-0.6249617645555933
11-28-550-05155-591662,0,0,0,Treatment,1,-24.11093583470095,-0.49400493034243964
11-28-550-05155-591663,1,0,1,Treatment,1,-47.81842862129811,-0.9797437835719035
11-28-550-05155-591664,1,0,1,Treatment,1,-74.40409625602504,-1.5244530797203595
11-28-550-05155-591665,1,0,1,Treatment,1,-5.483227443324599,-0.11234492969339016
11-28-550-05155-591666,0,0,0,Treatment,1,9.885261822114126,0.20253747558077062
11-28-550-05155-591667,0,0,0,Treatment,1,-7.874100982948709,-0.16133113763226756
11-28-550-05155-591668,0,0,1,Treatment,1,13.86304496470344,0.2840376088706628
11-28-550-05155-591669,0,0,1,Treatment,1,15.669956602116622,0.32105911909717844
11-28-550-05156-591670,0,0,0,Treatment,1,-56.071294321702226,-1.1488353681293975
11-28-550-05156-591672,0,0,0,Treatment,1,-95.41567680837595,-1.9549558382325287
11-28-550-05156-591673,0,0,0,Treatment,1,24.094945975572138,0.49367731679399585
11-28-550-05156-591674,0,0,0,Treatment,1,30.27857619266314,0.6203726817354511
11-28-550-05156-591675,0,0,0,Treatment,1,45.13673067052273,0.9247989229304675
11-28-550-05156-591676,0,0,0,Treatment,1,28.765526858772002,0.5893720670800126
11-28-550-05156-591677,0,0,0,Treatment,1,27.827023782471706,0.5701432345696363
11-28-550-05156-591679,0,0,0,Treatment,1,22.738168758067246,0.46587853538547547
11-28-550-05156-591680,0,0,0,Treatment,1,-3.255798463835681,-0.06670751000138912
