shrid2,centroid_lat,centroid_lon,distance_km,lat,lon
11-28-551-05232-593443,14.458287646837872,78.64665430682588,0.40711273375062007,14.455,78.645
11-28-551-05232-593445,14.44295021460942,78.63084981970242,0.5022223273851469,14.445,78.635
11-28-551-05232-593446,14.449703281371152,78.61031406,0.7275231048948895,14.445,78.615
11-28-551-05232-593447,14.42607844168573,78.61159369377238,0.3863582325893495,14.425,78.615
11-28-551-05232-593448,14.392266382038393,78.59205879,0.43951937955907816,14.395,78.595
11-28-551-05232-593449,14.379554597766088,78.68525844443782,0.5077808541175518,14.375,78.685
11-28-551-05233-593451,14.458064209008372,78.38655098796657,0.37987552282316844,14.455,78.385
11-28-551-05233-593452,14.467066858453393,78.41760099074331,0.36268448018018223,14.465,78.415
11-28-551-05233-593453,14.442810187407659,78.40812155876571,0.41552397820236175,14.445,78.405
11-28-551-05233-593454,14.418334676198011,78.38738030765874,0.45128653358424964,14.415,78.385
11-28-551-05233-593455,14.406586191046973,78.42722562897241,0.29792956490456074,14.405,78.425
11-28-551-05233-593456,14.385014837102148,78.40941450777937,0.47601669949222053,14.385,78.405
11-28-551-05233-593457,14.355750960019257,78.39700638,0.23196237059582442,14.355,78.395
11-28-551-05233-593458,14.324552499018544,78.38850587796692,0.3814057325985459,14.325,78.385
11-28-551-05233-593459,14.358106636530849,78.45373175855094,0.37189269964628086,14.355,78.455
11-28-551-05233-593460,14.367973859207607,78.49056621,0.5815528476266031,14.365,78.495
11-28-551-05233-593461,14.341931594431284,78.51097181,0.5526382524856707,14.345,78.515
11-28-551-05234-593462,14.287161227164319,78.46052798426486,0.5390903961183545,14.285,78.465
11-28-551-05234-593463,14.305472032699491,78.48042799,0.4959637995017597,14.305,78.485
